timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
460.00;-0.77;-0.67;0.21;0.79;0.00;0.00;0.46;0.00;0.00;0.04;0.25;0.77;0.77;0.67;0.21;0.77;0.00;0.00;0.46;-0.00
461.00;-1.29;-0.83;0.17;1.32;0.00;0.00;0.65;0.00;0.00;0.06;0.25;1.29;1.29;0.83;0.17;1.29;0.00;0.00;0.65;-0.00
462.00;-1.29;-1.04;0.19;1.32;0.00;0.00;0.85;0.00;0.00;0.07;0.25;1.29;1.29;1.04;0.19;1.29;0.00;0.00;0.85;-0.00
463.00;-0.52;-1.13;0.15;0.53;0.00;0.00;0.98;0.00;0.00;0.07;0.25;0.52;0.52;1.13;0.15;0.52;0.00;0.00;0.98;-0.00
464.00;-1.03;-1.32;0.11;1.05;0.00;0.00;1.21;0.00;0.00;0.09;0.25;1.03;1.03;1.32;0.11;1.03;0.00;0.00;1.21;-0.00
465.00;-1.81;-1.21;0.09;1.84;0.00;0.00;1.12;0.00;0.00;0.10;0.25;1.81;1.81;1.21;0.09;1.81;0.00;0.00;1.12;-0.00
466.00;-1.29;-1.14;0.06;1.32;0.00;0.00;1.08;0.00;0.00;0.09;0.25;1.29;1.29;1.14;0.06;1.29;0.00;0.00;1.08;-0.00
467.00;-0.52;-1.15;0.02;0.53;0.00;0.00;1.13;0.00;0.00;0.08;0.25;0.52;0.52;1.15;0.02;0.52;0.00;0.00;1.13;-0.00
468.00;-1.03;-1.17;0.00;1.05;0.00;0.00;1.17;0.00;0.00;0.09;0.25;1.03;1.03;1.17;0.00;1.03;0.00;0.00;1.17;-0.00
469.00;-0.77;-1.30;0.00;0.79;0.00;0.00;1.30;0.00;0.00;0.09;0.25;0.77;0.77;1.30;0.00;0.77;0.00;0.00;1.30;-0.00
470.00;-0.26;-1.28;0.00;0.26;0.00;0.00;1.28;0.00;0.00;0.08;0.25;0.26;0.26;1.28;0.00;0.26;0.00;0.00;1.28;-0.00
471.00;-1.29;-1.22;0.00;1.32;0.00;0.00;1.22;0.00;0.00;0.10;0.25;1.29;1.29;1.22;0.00;1.29;0.00;0.00;1.22;-0.00
472.00;-1.03;-3.06;0.00;1.05;0.00;0.00;3.06;0.00;0.00;0.21;0.25;1.03;1.03;3.06;0.00;1.03;0.00;0.00;3.06;-0.00
473.00;-1.29;-1.59;0.00;1.32;0.00;0.00;1.59;0.00;0.00;0.12;0.25;1.29;1.29;1.59;0.00;1.29;0.00;0.00;1.59;-0.00
474.00;-0.77;-1.88;0.00;0.79;0.00;0.00;1.88;0.00;0.00;0.13;0.25;0.77;0.77;1.88;0.00;0.77;0.00;0.00;1.88;-0.00
475.00;-3.09;-1.32;0.00;3.16;0.00;0.00;1.32;0.00;0.00;0.13;0.25;3.09;3.09;1.32;0.00;3.09;0.00;0.00;1.32;-0.00
476.00;0.00;-0.57;0.00;0.00;0.00;0.00;0.57;0.00;0.00;0.04;0.25;-0.00;0.00;0.57;0.00;0.00;0.00;0.00;0.57;-0.00
477.00;0.00;-0.42;0.00;0.00;0.00;0.00;0.42;0.00;0.00;0.03;0.25;-0.00;0.00;0.42;0.00;0.00;0.00;0.00;0.42;-0.00
478.00;0.00;-0.41;0.00;0.00;0.00;0.00;0.41;0.00;0.00;0.03;0.25;-0.00;0.00;0.41;0.00;0.00;0.00;0.00;0.41;-0.00
