timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
91.00;-20.89;-5.22;0.00;20.00;0.66;0.00;0.25;5.48;0.00;0.18;0.71;1.66;0.30;20.89;20.89;5.22;0.00;19.60;0.59;0.00;0.63;5.48;-0.00
92.00;-11.20;-5.12;0.00;15.27;0.00;3.76;0.00;5.12;0.00;0.00;0.61;1.38;0.30;11.20;11.20;5.12;0.00;14.96;0.00;3.38;0.00;5.12;-0.00
93.00;-22.65;-5.13;0.00;20.00;3.05;0.00;0.00;5.13;0.00;0.85;0.60;1.62;0.24;22.65;22.65;5.13;0.00;19.60;2.74;0.00;0.00;5.13;-0.00
94.00;-28.40;-5.16;0.00;20.00;0.00;0.00;3.52;8.68;0.00;0.00;0.68;2.04;0.18;28.40;28.40;5.16;0.00;19.60;0.00;0.00;8.80;8.68;-0.00
95.00;-18.84;-4.84;0.00;0.00;0.00;0.00;7.54;12.37;0.00;0.00;0.35;1.47;0.11;18.84;18.84;4.84;0.00;0.00;0.00;0.00;18.84;12.37;-0.00
96.00;-16.41;-4.40;0.00;0.00;0.00;0.00;6.57;10.97;0.00;0.00;0.14;1.30;0.05;16.41;16.41;4.40;0.00;0.00;0.00;0.00;16.41;10.97;-0.00
97.00;-18.91;-4.50;0.00;0.00;0.00;0.00;7.56;12.06;0.00;0.00;0.15;1.43;0.05;18.91;18.91;4.50;0.00;0.00;0.00;0.00;18.91;12.06;-0.00
98.00;-13.98;-4.97;0.00;0.00;0.00;0.00;5.59;10.56;0.00;0.00;0.13;1.25;0.05;13.98;13.98;4.97;0.00;0.00;0.00;0.00;13.98;10.56;-0.00
99.00;-13.00;-5.38;0.00;0.00;0.00;0.00;5.20;10.58;0.00;0.00;0.13;1.25;0.05;13.00;13.00;5.38;0.00;0.00;0.00;0.00;13.00;10.58;-0.00
100.00;-18.62;-5.38;0.00;0.00;0.00;0.00;7.45;12.83;0.00;0.00;0.16;1.52;0.05;18.62;18.62;5.38;0.00;0.00;0.00;0.00;18.62;12.83;-0.00
101.00;-24.30;-5.34;0.00;0.00;0.00;0.00;9.72;15.06;0.00;0.00;0.19;1.78;0.05;24.30;24.30;5.34;0.00;0.00;0.00;0.00;24.30;15.06;-0.00
102.00;-19.75;-5.03;0.00;0.00;0.00;0.00;7.90;12.93;0.00;0.00;0.16;1.53;0.05;19.75;19.75;5.03;0.00;0.00;0.00;0.00;19.75;12.93;-0.00
103.00;-13.70;-4.88;0.00;0.00;0.00;0.00;5.48;10.36;0.00;0.00;0.13;1.23;0.05;13.70;13.70;4.88;0.00;0.00;0.00;0.00;13.70;10.36;-0.00
104.00;-16.65;-4.78;0.00;0.00;0.00;0.00;6.66;11.44;0.00;0.00;0.14;1.36;0.05;16.65;16.65;4.78;0.00;0.00;0.00;0.00;16.65;11.44;-0.00
105.00;-23.41;-4.88;0.00;0.00;0.00;0.00;9.36;14.25;0.00;0.00;0.18;1.69;0.05;23.41;23.41;4.88;0.00;0.00;0.00;0.00;23.41;14.25;-0.00
106.00;-20.06;-4.84;0.00;0.00;0.00;0.34;8.16;13.00;0.00;0.00;0.16;1.54;0.05;20.06;20.06;4.84;0.00;0.00;0.00;0.31;20.40;13.00;-0.00
107.00;-13.28;-4.51;0.00;0.00;0.00;0.14;5.37;9.87;0.00;0.08;0.12;1.17;0.05;13.28;13.28;4.51;0.00;0.00;0.00;0.12;13.42;9.87;-0.00
108.00;-14.98;-4.47;0.00;0.00;0.00;0.10;6.03;10.50;0.00;0.11;0.13;1.24;0.05;14.98;14.98;4.47;0.00;0.00;0.00;0.09;15.08;10.50;-0.00
